locus_idx,locus_mean_af,soup_contribution,alpha
0,0.00000000,0.00000000,0.01261973
1,0.80000000,0.01009579,0.01261973
2,1.00000000,0.01261973,0.01261973
3,0.98245614,0.01239833,0.01261973
4,1.00000000,0.01261973,0.01261973
5,0.92307692,0.01164898,0.01261973
6,1.00000000,0.01261973,0.01261973
7,1.00000000,0.01261973,0.01261973
8,1.00000000,0.01261973,0.01261973
9,0.28544776,0.00360227,0.01261973
10,1.00000000,0.01261973,0.01261973
11,1.00000000,0.01261973,0.01261973
12,1.00000000,0.01261973,0.01261973
13,0.33333333,0.00420658,0.01261973
14,0.33333333,0.00420658,0.01261973
15,0.00000000,0.00000000,0.01261973
16,0.03846154,0.00048537,0.01261973
17,0.33333333,0.00420658,0.01261973
18,0.33333333,0.00420658,0.01261973
19,0.33333333,0.00420658,0.01261973
20,0.15942029,0.00201184,0.01261973
21,0.08988764,0.00113436,0.01261973
22,0.00000000,0.00000000,0.01261973
23,0.00000000,0.00000000,0.01261973
24,0.22222222,0.00280439,0.01261973
25,0.28571429,0.00360564,0.01261973
26,0.75000000,0.00946480,0.01261973
27,0.20000000,0.00252395,0.01261973
28,0.11111111,0.00140219,0.01261973
29,0.10000000,0.00126197,0.01261973
30,0.10000000,0.00126197,0.01261973
31,0.46666667,0.00588921,0.01261973
32,0.16666667,0.00210329,0.01261973
33,0.65873016,0.00831300,0.01261973
34,0.03846154,0.00048537,0.01261973
35,0.05882353,0.00074234,0.01261973
36,0.50000000,0.00630987,0.01261973
37,1.00000000,0.01261973,0.01261973
38,0.25000000,0.00315493,0.01261973
39,0.25000000,0.00315493,0.01261973
40,0.75000000,0.00946480,0.01261973
41,0.50000000,0.00630987,0.01261973
42,0.00000000,0.00000000,0.01261973
43,1.00000000,0.01261973,0.01261973
44,0.75000000,0.00946480,0.01261973
45,1.00000000,0.01261973,0.01261973
46,0.50000000,0.00630987,0.01261973
47,0.14130435,0.00178322,0.01261973
48,1.00000000,0.01261973,0.01261973
49,0.02564103,0.00032358,0.01261973
50,0.03571429,0.00045070,0.01261973
51,0.05263158,0.00066420,0.01261973
52,0.03571429,0.00045070,0.01261973
53,0.36666667,0.00462724,0.01261973
54,0.18181818,0.00229450,0.01261973
55,0.11111111,0.00140219,0.01261973
56,0.04166667,0.00052582,0.01261973
57,0.23076923,0.00291225,0.01261973
58,0.00000000,0.00000000,0.01261973
59,1.00000000,0.01261973,0.01261973
60,0.50000000,0.00630987,0.01261973
61,1.00000000,0.01261973,0.01261973
62,1.00000000,0.01261973,0.01261973
63,0.18181818,0.00229450,0.01261973
64,0.33333333,0.00420658,0.01261973
65,0.16666667,0.00210329,0.01261973
66,0.25000000,0.00315493,0.01261973
67,0.20000000,0.00252395,0.01261973
68,0.11111111,0.00140219,0.01261973
69,0.27272727,0.00344175,0.01261973
70,0.05000000,0.00063099,0.01261973
71,0.23837209,0.00300819,0.01261973
72,0.21428571,0.00270423,0.01261973
73,0.00000000,0.00000000,0.01261973
74,0.33333333,0.00420658,0.01261973
75,1.00000000,0.01261973,0.01261973
76,0.00000000,0.00000000,0.01261973
77,0.50000000,0.00630987,0.01261973
78,1.00000000,0.01261973,0.01261973
79,0.02564103,0.00032358,0.01261973
80,0.00000000,0.00000000,0.01261973
81,0.50000000,0.00630987,0.01261973
82,0.50000000,0.00630987,0.01261973
83,0.82608696,0.01042500,0.01261973
84,0.00000000,0.00000000,0.01261973
85,0.04545455,0.00057362,0.01261973
86,0.25000000,0.00315493,0.01261973
87,0.16666667,0.00210329,0.01261973
88,0.25000000,0.00315493,0.01261973
89,0.00000000,0.00000000,0.01261973
90,0.00000000,0.00000000,0.01261973
91,0.50000000,0.00630987,0.01261973
92,0.16666667,0.00210329,0.01261973
93,1.00000000,0.01261973,0.01261973
94,0.91891892,0.01159651,0.01261973
95,0.91666667,0.01156809,0.01261973
96,0.50000000,0.00630987,0.01261973
97,0.36956522,0.00466381,0.01261973
98,0.33333333,0.00420658,0.01261973
99,0.00000000,0.00000000,0.01261973
100,0.00000000,0.00000000,0.01261973
101,0.40000000,0.00504789,0.01261973
102,0.40000000,0.00504789,0.01261973
103,0.23076923,0.00291225,0.01261973
104,0.12500000,0.00157747,0.01261973
105,1.00000000,0.01261973,0.01261973
106,0.33333333,0.00420658,0.01261973
